Hour,PULocationID,Dayofweek,Demanda
3,90,1,0.86
3,90,2,1.27
3,90,3,1.49
3,90,4,2.59
3,90,5,6.63
3,90,6,8.47
3,107,0,0.83
3,107,1,0.89
3,107,2,0.99
3,107,3,1.65
3,107,4,1.73
3,107,5,7.53
3,107,6,8.83
3,113,0,0.38
3,113,1,0.33
3,113,2,0.37
3,113,3,0.4
3,113,4,0.9
3,113,5,4.95
3,113,6,4.6
3,132,0,4.55
3,132,1,3.35
3,132,2,1.92
3,132,3,2.29
3,132,4,2.35
3,132,5,2.58
3,132,6,2.1
3,137,0,0.41
3,137,1,0.72
3,137,2,0.83
3,137,3,0.77
3,137,4,1.12
3,137,5,3.32
3,137,6,3.93
3,138,0,0.21
3,138,1,0.26
3,138,2,0.03
3,138,3,0.07
3,138,4,0.21
3,138,5,0.07
3,138,6,0.05
3,141,0,0.96
3,141,1,0.78
3,141,2,1.02
3,141,3,1.26
3,141,4,1.55
3,141,5,3.42
3,141,6,3.53
3,142,0,0.39
3,142,1,0.49
3,142,2,0.42
3,142,3,0.44
3,142,4,0.49
3,142,5,1.41
3,142,6,1.28
3,143,0,0.05
3,143,1,0.14
3,143,2,0.11
3,143,3,0.21
3,143,4,0.14
3,143,5,0.3
3,143,6,0.39
3,144,0,0.39
3,144,1,0.25
3,144,2,0.51
3,144,3,0.89
3,144,4,3.89
3,144,5,13.15
3,144,6,15.0
3,151,0,0.12
3,151,1,0.11
3,151,2,0.03
3,151,3,0.11
3,151,4,0.09
3,151,5,0.33
3,151,6,0.44
3,161,0,0.91
3,161,1,0.88
3,161,2,1.19
3,161,3,1.09
3,161,4,1.62
3,161,5,2.41
3,161,6,2.59
3,162,0,0.64
3,162,1,0.89
3,162,2,1.0
3,162,3,1.03
3,162,4,1.23
3,162,5,2.22
3,162,6,2.35
3,163,0,0.78
3,163,1,0.96
3,163,2,1.02
3,163,3,1.46
3,163,4,1.92
3,163,5,3.8
3,163,6,5.0
3,164,0,1.02
3,164,1,1.24
3,164,2,1.9
3,164,3,2.26
3,164,4,3.28
3,164,5,7.76
3,164,6,8.74
3,170,0,0.87
3,170,1,0.7
3,170,2,0.9
3,170,3,1.09
3,170,4,1.56
3,170,5,4.12
3,170,6,3.8
3,211,0,0.1
3,211,1,0.07
3,211,2,0.09
3,211,3,0.27
3,211,4,0.88
3,211,5,2.3
3,211,6,3.06
3,224,0,0.07
3,224,1,0.04
3,224,2,0.05
3,224,3,0.08
3,224,4,0.16
3,224,5,0.56
3,224,6,0.45
3,229,0,0.46
3,229,1,0.49
3,229,2,0.81
3,229,3,0.91
3,229,4,1.44
3,229,5,2.58
3,229,6,3.04
3,233,0,0.4
3,233,1,0.36
3,233,2,0.58
3,233,3,0.53
3,233,4,0.86
3,233,5,1.49
3,233,6,1.22
3,234,0,0.69
3,234,1,0.35
3,234,2,1.0
3,234,3,1.33
3,234,4,1.55
3,234,5,6.23
3,234,6,7.21
3,236,0,0.19
3,236,1,0.32
3,236,2,0.26
3,236,3,0.28
3,236,4,0.34
3,236,5,0.76
3,236,6,0.59
3,237,0,0.3
3,237,1,0.34
3,237,2,0.48
3,237,3,0.54
3,237,4,0.56
3,237,5,1.3
3,237,6,1.24
3,239,0,0.25
3,239,1,0.22
3,239,2,0.47
3,239,3,0.44
3,239,4,0.56
3,239,5,1.07
3,239,6,1.34
3,249,0,2.57
3,249,1,1.8
3,249,2,2.97
3,249,3,3.61
3,249,4,7.11
3,249,5,24.83
3,249,6,25.0
3,263,0,0.79
3,263,1,0.71
3,263,2,0.73
3,263,3,1.11
3,263,4,1.25
3,263,5,3.55
3,263,6,4.31
4,43,0,0.23
4,43,1,0.22
4,43,2,0.14
4,43,3,0.2
4,43,4,0.24
4,43,5,0.27
4,43,6,0.27
4,48,0,3.75
4,48,1,2.95
4,48,2,3.53
4,48,3,4.1
4,48,4,5.05
4,48,5,10.1
4,48,6,12.72
4,68,0,1.47
4,68,1,1.08
4,68,2,1.11
4,68,3,2.15
4,68,4,2.32
4,68,5,5.93
4,68,6,8.0
4,79,0,2.13
4,79,1,1.39
4,79,2,2.44
4,79,3,2.5
4,79,4,3.83
4,79,5,15.8
4,79,6,16.9
4,90,0,1.27
4,90,1,1.06
4,90,2,1.0
4,90,3,1.11
4,90,4,2.01
4,90,5,3.9
4,90,6,5.33
4,107,0,0.9
4,107,1,1.02
4,107,2,1.02
4,107,3,1.7
