,Year,Manufacturer,Model,CO2 (p/mile),Miles per gallon (mpg),ef_x_comb,comb_x_year,Fuel,score_ghg,ef_x_comb_city,youSaveSpend,Alternative Fuel,createdOn,modifiedOn
682,2019,Ford,Transit Connect Van 2WD,396.0,22.0,4.0,2400.0,Regular Gasoline,4.0,24.875,-2500.0,No,12-07-2018,11-09-2018
683,2019,Subaru,Outback AWD,320.0,28.0,6.0,1900.0,Regular Gasoline,6.0,32.2366,0.0,No,12-07-2018,18-12-2018
684,2019,Hyundai,Ioniq Electric,0.0,136.0,10.0,500.0,Electricity,10.0,224.8,7000.0,No,12-07-2018,02-02-2022
685,2019,Chevrolet,Colorado 2WD,406.0,22.0,4.0,2400.0,Regular Gasoline,4.0,24.6,-2500.0,No,17-07-2018,06-02-2019
686,2019,GMC,Canyon 2WD,403.0,22.0,4.0,2400.0,Regular Gasoline,4.0,24.9,-2500.0,No,17-07-2018,18-12-2018
687,2019,Ram,1500 4WD,473.0,19.0,3.0,3200.0,Midgrade Gasoline,3.0,20.8889,-6500.0,No,17-07-2018,20-08-2019
688,2019,Honda,Pilot FWD,405.0,22.0,4.0,2400.0,Regular Gasoline,4.0,24.7499,-2500.0,No,17-07-2018,21-09-2018
689,2019,Volvo,XC60 AWD PHEV,210.0,26.0,8.0,2500.0,Premium Gasoline,9.0,32.0,-250.0,Electricity,17-07-2018,25-03-2022
690,2019,Cadillac,ATS,396.0,23.0,5.0,2300.0,Regular Gasoline,5.0,24.1,-2000.0,No,25-07-2018,25-07-2018
691,2019,Cadillac,ATS,352.0,25.0,5.0,2600.0,Premium Gasoline,5.0,28.3,-3500.0,No,25-07-2018,25-07-2018
692,2019,Cadillac,CTS-V,543.0,16.0,2.0,4100.0,Premium Gasoline,2.0,16.9,-11000.0,No,25-07-2018,21-09-2018
693,2019,Fiat,500 L,356.0,25.0,5.0,2600.0,Premium Gasoline,5.0,28.1,-3500.0,No,25-07-2018,18-12-2018
694,2019,Honda,HR-V AWD,311.0,29.0,6.0,1850.0,Regular Gasoline,6.0,34.6,250.0,No,25-07-2018,12-10-2020
695,2019,Chevrolet,Silverado K10 4WD TrailBoss,508.0,17.0,3.0,3100.0,Regular Gasoline,3.0,19.0,-6000.0,No,25-07-2018,21-09-2018
696,2019,Infiniti,QX80 2WD,547.0,16.0,2.0,4100.0,Premium Gasoline,2.0,17.2499,-11000.0,No,25-07-2018,21-09-2018
