Pollutant,Measure Info,Geo Place Name,Year,Data Value
Fine particles (PM 2.5),mcg/m3,Bay Ridge and Dyker Heights (CD10),2021,6.53
Nitrogen dioxide (NO2),ppb,Bayside and Little Neck (CD11),2021,14.17
Nitrogen dioxide (NO2),ppb,Upper East Side,2021,20.31
Fine particles (PM 2.5),mcg/m3,Throgs Neck and Co-op City (CD10),2021,6.52
Nitrogen dioxide (NO2),ppb,Tottenville and Great Kills (CD3),2021,11.12
Nitrogen dioxide (NO2),ppb,Elmhurst and Corona (CD4),2021,17.49
Nitrogen dioxide (NO2),ppb,St. George and Stapleton (CD1),2021,15.32
Nitrogen dioxide (NO2),ppb,South Crown Heights and Lefferts Gardens (CD9),2021,17.02
Nitrogen dioxide (NO2),ppb,Long Island City - Astoria,2021,19.0
Nitrogen dioxide (NO2),ppb,Throgs Neck and Co-op City (CD10),2021,15.39
Fine particles (PM 2.5),mcg/m3,South Beach and Willowbrook (CD2),2021,6.16
Nitrogen dioxide (NO2),ppb,Morris Park and Bronxdale (CD11),2021,16.29
Nitrogen dioxide (NO2),ppb,East Flatbush (CD17),2021,16.52
Nitrogen dioxide (NO2),ppb,Flatlands and Canarsie (CD18),2021,14.26
Nitrogen dioxide (NO2),ppb,Bushwick (CD4),2021,17.51
Nitrogen dioxide (NO2),ppb,Bedford Stuyvesant (CD3),2021,17.88
Nitrogen dioxide (NO2),ppb,South Beach and Willowbrook (CD2),2021,13.01
Nitrogen dioxide (NO2),ppb,Long Island City and Astoria (CD1),2021,17.34
Fine particles (PM 2.5),mcg/m3,Gramercy Park - Murray Hill,2021,8.15
Fine particles (PM 2.5),mcg/m3,Bushwick (CD4),2021,6.87
Nitrogen dioxide (NO2),ppb,Jamaica,2021,15.3
Nitrogen dioxide (NO2),ppb,Gramercy Park - Murray Hill,2021,23.54
Fine particles (PM 2.5),mcg/m3,Canarsie - Flatlands,2021,6.27
Fine particles (PM 2.5),mcg/m3,East Flatbush - Flatbush,2021,6.44
Nitrogen dioxide (NO2),ppb,Greenpoint and Williamsburg (CD1),2021,20.75
Fine particles (PM 2.5),mcg/m3,Williamsburg - Bushwick,2021,7.25
Fine particles (PM 2.5),mcg/m3,Rockaway and Broad Channel (CD14),2021,5.92
Nitrogen dioxide (NO2),ppb,Lower Manhattan,2021,21.49
Nitrogen dioxide (NO2),ppb,Union Square - Lower East Side,2021,19.55
Fine particles (PM 2.5),mcg/m3,Upper East Side,2021,7.02
Nitrogen dioxide (NO2),ppb,Coney Island - Sheepshead Bay,2021,14.68
Nitrogen dioxide (NO2),ppb,Borough Park,2021,16.74
Fine particles (PM 2.5),mcg/m3,Coney Island - Sheepshead Bay,2021,6.27
Fine particles (PM 2.5),mcg/m3,Upper West Side,2021,6.8
Nitrogen dioxide (NO2),ppb,South Beach - Tottenville,2021,11.3
Fine particles (PM 2.5),mcg/m3,South Beach - Tottenville,2021,6.04
Fine particles (PM 2.5),mcg/m3,Bayside - Little Neck,2021,6.29
Nitrogen dioxide (NO2),ppb,Washington Heights,2021,17.1
Nitrogen dioxide (NO2),ppb,Williamsbridge and Baychester (CD12),2021,15.64
Fine particles (PM 2.5),mcg/m3,Southeast Queens,2021,6.23
Fine particles (PM 2.5),mcg/m3,Bayside Little Neck-Fresh Meadows,2021,6.28
Nitrogen dioxide (NO2),ppb,Washington Heights and Inwood (CD12),2021,16.91
Fine particles (PM 2.5),mcg/m3,Washington Heights and Inwood (CD12),2021,6.88
Fine particles (PM 2.5),mcg/m3,Central Harlem (CD10),2021,6.77
Nitrogen dioxide (NO2),ppb,Belmont and East Tremont (CD6),2021,17.36
Fine particles (PM 2.5),mcg/m3,Bedford Stuyvesant - Crown Heights,2021,6.61
Nitrogen dioxide (NO2),ppb,Canarsie - Flatlands,2021,14.28
Nitrogen dioxide (NO2),ppb,East Flatbush - Flatbush,2021,16.38
